Title	URL	Assignees	Status	Estimated size	Real size	Labels
Update/Extend Documentation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/183		Product Backlog	5		documentation
Code Cleanup	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/155		Product Backlog			
SBOM Update	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/165		Product Backlog	3		documentation
Homework: Final Project Release	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/248		Product Backlog			
Demo Day Preparation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/247		Product Backlog			
Test success indicator	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/172	BeEugen, SeboKnt	Product Backlog			
demo day slides	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/237		Product Backlog			
Linting	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/239		Product Backlog			
configuation tests	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/236		Product Backlog			
Test Scenarios with new Query Types	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/238		Product Backlog			
Create Project Report	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/249		Product Backlog			
Refactor Load Generator Module	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/241	Leolingio, SeboKnt	In Progress	5		
Refactor Metrics Reporter	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/242	Carlit0	In Progress	3		
Demo Day Video Script Creation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/230	SaraBelz	In Progress	2		
Refactor Shared Library	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/244	BeEugen	In Progress	2		
Metrics Reporter Error Behavior	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/204	BeEugen, Carlit0, Leolingio	Awaiting Review	2		enhancement
Expensive Queries	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/147	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Awaiting Review	2		enhancement
Metrics Reporter Abort Report Creation On IOException	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/251	BeEugen	Awaiting Review	1		bug
Refactor Test Data Generator	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/243	BeEugen, SaraBelz	Awaiting Review	5		
Simple UI for loadtest start	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/218	Leolingio, SeboKnt	Feature Archive	5	8	enhancement, ui
Create custom scenario	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/231		Feature Archive	3	3	
Configurable Query Type Distribution	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/215	SaraBelz	Feature Archive	3	3	enhancement
Suppress Noisy Logs	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/208	Leolingio	Feature Archive	3	1	bug
Double check metrics reporter clean behavior (output files, memory)	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/220	Carlit0	Feature Archive		1	bug, refactoring
Architecture (Diagram) Refactoring	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/118	Carlit0, Leolingio, SeboKnt	Feature Archive	3	3	documentation
Remove CSV output format	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/213	Carlit0	Feature Archive	1	1	refactoring
Load Generator add handling big data	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/184	Carlit0, SaraBelz	Feature Archive	5	8	
Grafana: Dashboard creation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/193	SeboKnt	Feature Archive	3	3	
Execution of Multiple Test Runs	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/207	BeEugen, Leolingio, SaraBelz	Feature Archive	5	2	
Fix Queries getting lost without warning	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/180	Carlit0, Leolingio	Feature Archive	3	5	
Query Timeout Handling	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/169	BeEugen, Carlit0, Leolingio	Feature Archive	3	8	
Research: Look into queuing (OpenSearch)	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/181	BeEugen, Carlit0, Leolingio	Feature Archive	2	2	
Extend Test Coverage (Unit Tests)	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/115	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Feature Archive	5	5	
Setup Grafana Dev Container	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/178	SeboKnt	Feature Archive	2	1	
Shutdown Metrics Reporter After Report Generation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/152	BeEugen	Feature Archive	1	2	
Bug: Duration/QPS division by 0 exception	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/182	SaraBelz	Feature Archive	1	1	
Compound Queries	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/145	Carlit0, Leolingio	Feature Archive	2	1	
Leaf Queries: specialized/span queries	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/146	Carlit0, Leolingio	Feature Archive	2	3	
loki setup/research	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/185	SeboKnt	Feature Archive	2	1	
loki interaction	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/186	SeboKnt	Feature Archive	3	2	
Grafana Data Input Research (Loki)	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/179	BeEugen, SeboKnt	Feature Archive	3	1	
Introduce parent POM for centralized dependency & plugin management	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/188	BeEugen	Feature Archive	2	2	
Merge Open PRs	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/156	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Feature Archive	2	2	
